ClassiferType,Number,loadTime,trainTime,rocMetricTime,meanPredTime,numTruePos,numTrueNeg,numFalsePos,numFalseNeg,precision,recall,F1Score
SGD, 0, 24.376464545, 9.740683719000003, 15.51942493, 0.012392392485148474, 941, 8953, 67, 39, 0.933531746031746, 0.960204081632653, 0.9466800804828974
SGD, 1, 26.410514359, 9.637329636000004, 21.946683225999998, 0.014214336207920727, 1117, 8786, 79, 18, 0.9339464882943144, 0.9841409691629956, 0.9583869583869584
SGD, 2, 26.207363424, 13.527375983999995, 21.872802862000007, 0.0109627726336633, 757, 8919, 49, 275, 0.9392059553349876, 0.7335271317829457, 0.823721436343852
SGD, 3, 25.98344785, 19.179648538, 28.476232571999994, 0.011028708584158458, 557, 8978, 12, 453, 0.9789103690685413, 0.5514851485148515, 0.7055098163394553
SGD, 4, 26.123059622, 15.633261359000002, 23.697373482000003, 0.02111181859405937, 927, 8824, 194, 55, 0.8269402319357716, 0.9439918533604889, 0.8815977175463623
SGD, 5, 26.288470453, 17.196782904000003, 25.30004033099999, 0.011196762445544467, 785, 8707, 401, 107, 0.6618887015177066, 0.8800448430493274, 0.7555341674687199
SGD, 6, 25.983463661, 10.100968552999998, 22.147439409, 0.02093957773267323, 686, 9029, 13, 272, 0.9814020028612304, 0.7160751565762005, 0.828002414001207
SGD, 7, 28.307457006, 10.535855223000002, 21.982835594999997, 0.012064291712871232, 921, 8902, 70, 107, 0.929364278506559, 0.8959143968871596, 0.912332838038633
SGD, 8, 25.02165891, 16.772447785, 34.44046284699999, 0.011559417891089116, 605, 8786, 240, 369, 0.7159763313609467, 0.6211498973305954, 0.6652006597031336
SGD, 9, 25.113497447, 20.477986835, 27.920503850000003, 0.01070999602970304, 587, 8889, 102, 422, 0.8519593613933236, 0.5817641228939544, 0.6914016489988222
RandomForest, 0, 32.644564172, 20.001257932999998, 0.1953576659999996, 0.512291276049505, 957, 9016, 4, 23, 0.9958376690946931, 0.976530612244898, 0.9860896445131375
